name,street,city,province,country,address_dump,postal_code,phone,hours,link,products,products_grown,products_pick
Haute Goat,1969 Burnbrae Rd. East,Campbellford,Ontario,Canada,"",K0L 1L0,416-402-8144,Thursday to Sunday 10am to 4pm and by appointment. Open Year Round.,http://www.hautegoat.com,garlic,garlic,""
Frootogo Orchards,573 Parkside Drive,Waterdown,Ontario,Canada,"",L0R 2H1,905-689-1652,Aug. 1 to Dec. 21 daily 10-6,http://www.frootogo.ca,apples,"apples, grapes, plums, pumpkins, strawberries","apples, grapes, plums, pumpkins, strawberries"
Gammondale Farm,426 McCluskey Drive,Slate River,Ontario,Canada,"",P7J 0B3,"807-475-5615, 888-705-4636","HORSE-DRAWN HAY/SLEIGH RIDES, FAMILY PARTIES, WEDDINGS & SCHOOL TOURS: Year-round by reservation. PUMPKINFEST, MAZES: 6 weekends late Sept & Oct. HAUNTED CORNFIELD: 2 weekends late October.",http://www.gammondalefarm.com,"gourds, pies, preserves, pumpkins, squash","gourds, pumpkins, squash","gourds, pumpkins, squash"
Garrett's Farm Market & Greenhouse,824 Penetanguishene Rd.,Barrie,Ontario,Canada,"",L4M 4Y8,705-721-1800,"Open Daily: 8am to 6pm, Fridays 8am to 8pm","","corn, perennials","",""
Gillespie's Garden,"1043 Brantford Hwy, RR 5",Cambridge,Ontario,Canada,"",N1R 5S6,519-622-2294,late July - mid September,"","","",""
Hall's Apple Market,2930 2nd Concession Rd.,Brockville,Ontario,Canada,"",K6V 5T1,613-342-6320,"Year Round, Daily 8 am - 5:30 pm (except Sun between Jan & July)",http://www.hallsapplemarket.com,apples,apples,apples
Heeman Greenhouses & Strawberry Farm,"20422 Nissouri Rd., RR 2",London,Ontario,Canada,"",N0M 2P0,519-461-1416/519-461-0555,8:00am - 8:00pm Mon-Fri | 8:00am - 5:00pm Sat-Sun,http://www.heeman.ca,"blueberries, cherries, raspberries, strawberries","raspberries, strawberries",strawberries
Herrle's Country Farm Market,"1243 Erb's Rd., RR 1",St. Agatha,Ontario,Canada,"",N0B 2L0,519-886-7576,June 20 - Oct 31: Mon - Fri: 8 - 7; Sat: 8 - 6; Sun: 9 - 5,http://www.herrles.com,"beans, peas, pumpkins, squash, strawberries","pumpkins, strawberries","pumpkins, strawberries"
Hillsview Greenhouses & Market Produce,"37106 Belgrave Rd., RR 2",Lucknow,Ontario,Canada,"",N0G 2H0,519-529-3653,"May - Oct: 9am - 6 pm weekdays, 9 am - 6 pm Sat., Closed Sundays","","","",""
Have Fun @ Howells,2878 Holland Rd.,Fonthill,Ontario,Canada,"",L0S 1E6,905-892-3918,see website,http://www.Howellls.ca,"flowers, gourds, pies, squash",pumpkins,pumpkins
Hugli's Blueberry Ranch,2139 Greenwood Rd.,Pembroke,Ontario,Canada,"",K8A 6W2,613-638-1288,June 1 - Oct 31,http://www.blueberryranch.ca,"blueberries, pumpkins","blueberries, pumpkins","blueberries, pumpkins"
Jakeman's Maple Products,"RR #1 454414 Trillium Line,",Beachville,Ontario,Canada,"",N0J 1A0,800-382-9795/519-539-1366,"year round: Mon - Friday: 8:00 am to 4:30 pm, Sat: 10 am - 4 pm. Food Service: weekends in maple season",http://www.themaplestore.com,"","",""
Janssens Farm Market & U Pick,"5885 Falconbridge Dr., RR 3",Appin,Ontario,Canada,"",N0L 1A0,519-289-2499,year round: 8am - 8pm; winter 9am - 6pm,"","apples, cider","apples, beans, cucumbers, gooseberries, peppers, raspberries, strawberries, tomatoes","apples, beans, cucumbers, gooseberries, peppers, raspberries, strawberries, tomatoes"
Johnston's Cranberry Marsh / Muskoka Lakes Winery,1074 Cranberry Road,Bala,Ontario,Canada,"",P0C 1A0,705-762-3203,Year round. Mon - Sat: 9-5; Sun: 11-4. Food Service: food tent in October,http://www.cranberry.ca,"cranberries, wine","",""
Kurtz Orchards Market,"P.O. Box 457, 16006 Niagara Pkwy.",Niagara-on-the-Lake,Ontario,Canada,"",L0S 1J0,905-468-2937,Daily 9 - 6,http://www.kurtzorchards.com,"","",""
Lindley's Farm & Market Ltd.,900 Fiddlers Green Rd.,Ancaster,Ontario,Canada,"",L9G 3L1,289-237-5614,May - Oct 31: Call for hours,http://www.lindleyfarm.com,vegetables,"pumpkins, raspberries, strawberries","pumpkins, raspberries, strawberries"
McGregor's Produce,351 Lochwinnoch Road,Braeside,Ontario,Canada,"",K0A 1G0,613-432-9726,Open 7 days a week from mid-June until October 31st,http://www.mcgregorsproduce.com,"pumpkins, raspberries, strawberries","beans, pumpkins, raspberries, strawberries, tomatoes","raspberries, strawberries"
Nokara Farms,1090 Lakeshore Rd. W.,St. Catharines,Ontario,Canada,"",L2R 6P9,905-937-0211,mid June - Thanksgiving weekend; Mon-Sat: 9:30 am - 6:30 pm; Sun: Call for hours; Host Groups: by appointment only,http://www.nokarafarms.ca,"peaches, pears, plums, strawberries, tomatoes",strawberries,strawberries
Orchalaw Farms,"9726 Heritage Rd., RR 2",Brampton,Ontario,Canada,"",L6X 0A2,905-456-1879,"",http://www.orchalawfarms.com,apples,apples,apples
Springridge Farm,"7256 Bell School Line,",Milton,Ontario,Canada,"",L9T 2Y1,905-878-4908,"Open daily 9-5, April-December",http://www.springridgefarm.com,"gourds, pumpkins, strawberries","gourds, pumpkins, strawberries",Maze
The Apple Factory,10024 Mississauga Road,Brampton,Ontario,Canada,"",L7A 0B8,905-846-3715,"Open daily May-Oct: 9-6, Nov-Apr: 10-6",http://www.applefactory.com,"Sheldon Creek milk products, annuals, apples, apricots, asparagus, baked goods, beans, bedding plants, beef, beets, blackberries, blueberries, broccoli, brussel sprouts, cabbage, cantaloupe, carrots, cauliflower, cheese, cherries, cider, corn, cranberries, cucumbers, eggs, flowers, fudge, garlic, gift baskets, giftware, gourds, grapes, herbs, honey, jam/jellies, lamb, leafy greens, lettuce, maple syrup/products, melons, milk, mushrooms, nectarines, onions, parsnip, peaches, pears, peas, peppers, perennials, pies, plums, pork, potatoes, poultry/chicken, preserves, pumpkins, raspberries, rhubarb, spinach, squash, strawberries, sweet potatoes, tomatoes, turnip, vegetables, watermelons, zucchini",Bakery,""
Willowtree Farm Market,975 Durham Rd. 21,Port Perry,Ontario,Canada,"",L9L 1B5,905-985-4973,June - Nov. Daily 8 am - 7 pm; Fall: 9 am - 6 pm,http://www.willowtreefarm.ca,"apples, beans, beef, blueberries, cider, cucumbers, gourds, honey, onions, peaches, peas, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes","pumpkins, raspberries, strawberries","pumpkins, raspberries, strawberries"
Peach Country Farm Market,4490 Victoria Ave.,Vineland Station,Ontario,Canada,"",L0R 2E0,905-562-5602,"Open at 9:00 a.m, 7 days a week, July to October.",http://www.peachcountryfarmmarket.com,"apples, apricots, nectarines, peaches, plums, raspberries, squash, tomatoes","apples, apricots, nectarines, peaches, plums, raspberries, squash, tomatoes","Bakery, Food"
Thatcher Farms,5727 5th Line Eramosa,RR #1,"","",RR #1,"Rockwood,  
		Ontario,  
		Canada",519-856-4073,Open Thursday to Saturday from 10am to 5pm.,http://www.thatcher-farms.com,"beef, cheese, honey, pork","",""
VG Meats,966 Concession 6,Woodhouse Rd.,"","",Woodhouse Rd.,"Simcoe,  
		Ontario,  
		Canada",519-426-2000,We offer 2 locations with different hours throughout the year. Closed Sundays.,http://www.vgmeats.ca,"","",""
Mountain Orchards,"10175 Clark Road, RR3",Mountain,Ontario,Canada,"",K0E 1S0,613-989-5601,"",http://www.mountainorchards.ca,"","",""
Reesor Farm Market,10825 Ninth Line,Markham,Ontario,Canada,"",L6B 1A8,905-640-4568,"June - October, 9 a.m. to 6:30 p.m.","http://www.reesorfarm.com,facebook.com/reesorfarmmarket","cheese, preserves","beans, peas, pumpkins, strawberries, tomatoes","pumpkins, strawberries"
William's Orchard,10101 Hume Court,Milton,Ontario,Canada,"",L9T 2X9,905-876-4220,"",http://www.ruralroutes.com/williamsorchard,"","",""
Vail's Orchards,205790 Hwy 26,Meaford,Ontario,Canada,"",N4L 1W5,519-538-4474,"Sunday to Saturday, 8am to 6pm","","apples, pears, pumpkins, squash",apples,""
Trembling Aspens Herb Farm,9689 Concession 3,Caistor Centre,Ontario,Canada,"",L0R 1E0,905-957-3812,10am to 4pm alternate days from week to week.,"","beans, cabbage, cucumbers, honey, peppers, pumpkins, squash, tomatoes","beans, cabbage, cucumbers, gooseberries, peppers, pumpkins, squash, tomatoes",""
Creasy's Apple Dabble Farm,"3091 County Rd. 8, RR #4",Picton,Ontario,Canada,"",K0K 2T0,613-476-5142,"Sept. 1 to mid-November, 9:00am to 5:00pm, 7 days a week.","","apples, blueberries, cabbage, cucumbers, onions, pears, peppers, plums, pumpkins, squash, tomatoes","apples, blueberries, cabbage, cucumbers, onions, pears, peppers, plums, pumpkins, squash, tomatoes","apples, blueberries"
White Feather Country Store,15 Raglan Rd. E.,Oshawa,Ontario,Canada,"",L1H 7K4,905-655-4752,"Open Year Round, Monday to Wednesday 8:30 to 6:00, Thursday and Friday 8:30 to 8:00, Saturday 8:30 to 6:00, Sunday 10:00 to 5:00",http://www.whitefeatherfarms.com,"apples, corn, eggs, onions, pumpkins, raspberries, squash, strawberries, tomatoes","corn, eggs",""
Floralane Produce,2191 Arthur St. North,Elmira,Ontario,Canada,"",N3B 2Z1,519-669-3154,"Open from March to December - Monday to Friday 8:30 to 7:00, Saturday 8:30 to 5:30.","","apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, flowers, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, cabbage, corn, flowers, onions, peas, peppers, pumpkins, squash, strawberries, tomatoes",""
Franklin Farm Herbals and Market,1453 Fleetwood Dr.,Bethany,Ontario,Canada,"",L0A 1A0,705-277-9800,Open from May to October Thursday to Sunday 10:00 am to 6:00 pm or by chance.,http://www.kawarthaherbs.blogspot.com,"beets, blueberries, carrots, cucumbers, flowers, honey, peaches, pears, peppers, raspberries, strawberries, tomatoes","herbs, honey, peppers, tomatoes",""
Dixie Orchards,14309 Dixie Rd.,Caledon,Ontario,Canada,"",L7C 2M8,905-838-5888,"Open from Sept 1 to November 1, 7 days a week from 10 am to 6 pm",http://www.dixieorchards.com,"apples, beets, carrots, corn, currants, pears, pumpkins, raspberries, squash","apples, currants, pears, pumpkins, raspberries, squash","apples, raspberries"
Brambleberry Farm,9 Mitchell Rd.,between Wooler & Frankford on Cty. Rd. 5,"","",between Wooler & Frankford on Cty. Rd. 5,"Quinte West,  
		Ontario,  
		Canada",613-398-8350,June to September,http://brambleberryfarm.ca,"blueberries, currants, gooseberries, raspberries, strawberries","blueberries, currants, gooseberries, raspberries, strawberries","blueberries, currants, gooseberries, raspberries, strawberries"
Round the Bend Farm,16225 Jane St.,Kettleby,Ontario,Canada,"",L7B0,905-727-0023,"Open from May to December- Monday to Friday: 9-6pm, Saturday 9-5pm, closed on Sunday",http://www.roundthebendfarm.com,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, flowers, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, beets, broccoli, cabbage, carrots, cauliflower, corn, flowers, onions, pumpkins, squash, tomatoes",Maze
Bonnieheath Estate Lavender & Winery,410 Conc. 12 Townsend Rd.,Waterford,ON,Ontario,"",N0E 1Y0,519-443-7125,"March to December with extended summer hours, visit our website for seasonal hours",http://www.bonnieheathestate.com,"apples, lavender","",""
Debackere Farms Inc.,5013 Yarmouth Centre Rd.,Union,Ontario,Canada,"",N0L 2L0,519-476-4623,"7am to 6pm, 7 days a week",http://www.debackerefarms.ca,"apples, beans, corn, cucumbers, eggplant, onions, peaches, pears, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, corn, cucumbers, eggplant, peppers, pumpkins, raspberries, squash, strawberries, tomatoes",""
The Poultry Place,1010 Three Bridges Rd.,St. Jacobs,Ontario,Canada,"",N0B 2N0,519-664-3090,"Tuesday to Friday 8-5, Saturday 8 to 4, year round.",http://www.thepoultryplace.com,"","",""
19th Ave. Farmers Market,2931 19th Avenue,Markham,Ontario,Canada,"",L6C 1L7,905-887-8954,"Open from June to November, 8am to 6pm",http://www.toptomatofoods.ca,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, flowers, grapes, onions, peaches, pears, peas, peppers, plums, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes, zucchini","beans, broccoli, cabbage, cauliflower, corn, cucumbers, eggplant, onions, peas, peppers, potatoes, pumpkins, squash, strawberries, tomatoes, zucchini",strawberries
f.N. Happy Farm,439 Feasby Rd.,Uxbridge,Ontario,Canada,"",L9P 1R1,905-862-0591,Victoria Day Weekend to Thanksgiving Weekend,http://www.fnhappyfarm.ca,"","",""
Theadora's Orchard,5210 King Street,Beamsville,Ontario,Canada,"",L0R 1B3,289-566-9664,"","","","",""
Kent Kreek Berries,3173 Highway 3 West,R. R. #1 Simcoe,Ontario,Canada,"",N3Y 4J9,519-426-0924,"Open 9am to 6pm, from mid-June to end of September, weekend in Sept. & October",http://www.kentkreekberries.com,"blueberries, pumpkins, raspberries, squash, strawberries, zucchini","blueberries, strawberries",""
Berryview Farm,13707 Heart Lake Rd.,Caledon,Ontario,Canada,"",L7C 2K7,905-838-4777,"Sept 1 to Oct. 31, 10:00 - 5:30 daily except for Tuesdays",http://www.berryviewfarm.com,"apples, cider, pumpkins, squash","apples, pumpkins, squash","apples, pumpkins, squash"
Harris Flower Farm,42488 Ron McNeil Line,St. Thomas,Ontario,Canada,"",N5P 3T1,519-668-9537,Call ahead to talk about flowers for weddings and special events,http://www.harrisflowerfarmpasturedpork.weebly.com,"flowers, pork","flowers, pork",Weddings
Speers Farms Amaranth,"245199 5th Sideroad, Amaranth, RR #7",Orangeville,Ontario,Canada,"",L9W 2Z3,519-941-2708,"","",beef,beef,""
Orchard Home Farm,235 Howell Rd.,St. George,Ontario,Canada,"",N0E 1N0,519-448-1111,"Open from mid August to mid November, 9:00 am to 7:00 pm daily including weekends and holidays",http://www.orchardhomefarm.com,"apples, pears, pumpkins, squash","apples, pears, pumpkins, squash","apples, pears"
Johnston's Farm Market,10704 County Rd. 28,Bailieboro,Ontario,Canada,"",K0L 1B0,705-939-1737,"Market open from mid-June to November, 10am to 6pm, 7 days a week<br /> PYO berries in June<br /> Maple syrup is available all year round",http://www.johnstonsfarmmarket.ca,"beans, beets, broccoli, cabbage, carrots, cauliflower, corn, cucumbers, herbs, onions, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, broccoli, cabbage, carrots, cauliflower, corn, cucumbers, herbs, onions, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","raspberries, strawberries"
Busy Liz's Farm Shop,8405 Guelph LIne,Campbellville,Ontario,Canada,"",L0P 1B0,905-854-9957,The market is open from June to October and then again in December.,http://www.busyliz's.com,"beans, beets, carrots, corn, garlic, onions, peaches, pears, peas, preserves, pumpkins, squash, strawberries, tomatoes","beets, carrots, corn, garlic, onions, peas, pumpkins, squash, tomatoes",""
Oaklane Orchard,496445 Grey Rd. 2,Clarksburg,Ontario,Canada,"",N0H 1J0,519-599-5841,Open Aug. 15 to Nov.30 - weather permitting. Daily from 9am to 6pm,"","apples, pears, plums","apples, plums","apples, plums"
Cheer Farms,365 Main Street (Highway #2),Brighton,Ontario,Canada,"",K0K 1H0,613-475-1174,"Open from June to December, daily 8am to 6pm","","apples, beans, potatoes, pumpkins, squash, strawberries, tomatoes","",""
Delhaven Orchards Ltd.,8182 Talbot Trail,Blenheim,Ontario,Canada,"",N0P 1A0,519-676-4475,"November 1 to June 3: Open 6 days a week from 8am to 5pm, July 1 to October 31: Open 7 days a week from 8am to 6pm",http://www.delhaven.com,"apples, blueberries, cherries, corn, honey, onions, peaches, pears, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, cherries, peaches, pears, plums, strawberries",""
Farmtown Canada,46703 Mapleton Line,Aylmer,Ontario,Canada,"",N5H 2R6,519-773-2292,"Open Tuesday to Saturday, 10-6",http://www.farmtowncanada.ca,"cider, cucumbers, eggs, flowers, herbs, honey, peppers, pumpkins, squash, tomatoes","cucumbers, flowers, herbs, peppers, pumpkins, squash, tomatoes",""
Breedon's Maple Syrup,3662 Conc. 3,Alliston,Ontario,Canada,"",L9R 1V1,705-435-5269,In season-open 7 days a week from 10 to 5pm. Off season-please call ahead.,http://www.breedonsmaplesyrup.com,"","",""
Frank E.'s,1936 Brant Rd. 4,Vanessa,Ontario,Canada,"",N0E 1V0,519-446-1191,seasonal,http://www.frankesvanessa.com,"apples, ginseng, honey","apples, ginseng",""
Thiessen Orchards Ltd.,400 Talbot Road East,Leamington,Ontario,Canada,"",N8H 3V6,519-326-5282,"Open the weekend after Labour Day, 7 days a week from 10 am to 5pm",http://www.thiessenorchards.com,"apples, pumpkins",Maze,""
Rose Family Farm,17569 Centre St.,Mount Albert,Ontario,Canada,"",L0G 1M0,905-473-3574,"9am to 5pm, 7 days a week from May to October, Closed on Sundays and from November 1 to Victoria Day weekend.","","beets, honey, onions, pies, potatoes, pumpkins, raspberries, strawberries","beets, potatoes, pumpkins, raspberries, strawberries","raspberries, strawberries"
Sheldon Creek Dairy,4316 5th Concession,Loretto,Ontario,Canada,"",L0G 1L0,705-434-0404,"Monday to Saturday, 10am to 6pm, Sunday 11am to 4pm",http://www.sheldoncreekdairy.ca,milk,milk,""
Abbey Gardens Community Trust,1012 Garden Gate Dr.,Haliburton,Ontario,Canada,"",K0M 1S0,705-854-0356,"Open form May 1 to November 1, 9:00am to 3:00pm",http://www.abbeygardens.ca,"","",""
Fisherville Greenhouses,294 Concession 5,Fisherville,Ontario,Canada,"",N0A 1G0,905-779-0710,"Open from May to November, dawn to dusk at the road side stand, greenhouse hours are 8am to 3pm",http://www.fishervillegreenhouses.com,"pumpkins, tomatoes","",""
Foster Family Farm,2132 Lockhead Rd.,North Gower,Ontario,Canada,"",K0A 2T0,613-489-1893,"Farm - 2132 Lockhead Rd., North Gower - open mid June to early July for PYO strawberries - Monday to Friday 7:00am to 7:00pm -Saturday 7:00am - 6:00pm -Sunday CLOSED Market- 333 Cedarview Rd., Nepean - open mid June to October 31st (Closed from after Labour Day to first of October) - Monday to Friday 10:00am - 6:00pm - Saturday 9:00am - 5:00pm -Sunday CLOSED Market - Canadian Tire Store parking lot, 2501 Greenbank Rd., Nepean -open mid June to Labour Day Saturday - Monday to Friday 10:00am - 6:00pm -Saturday 9:00am - 5:00pm -Sunday CLOSED",http://www.fosterfamilyfarm.ca,"beans, beets, broccoli, cabbage, carrots, cauliflower, cucumbers, onions, peas, peppers, pumpkins, squash, strawberries, tomatoes","beans, beets, broccoli, cabbage, carrots, cauliflower, cucumbers, onions, peas, peppers, pumpkins, squash, strawberries, tomatoes",strawberries
Trillium Ridge Sugarworks,254 Maple Sugar Road,Shannonville,Ontario,Canada,"",K0K 3A0,613-396-5141,"Open from February 14th to April 14th, seven days a week, 9am to 6pm or call fro an appointment",http://www.sugarworks.ca,"","",""
Steward's Blueberries,238 Hwy #53,Burford,Ontario,Canada,"",N0E 1A0,519-458-4176,"Mid July to the end of August, Monday to Saturday 8:00am to 9:00pm, Sundays 8:00am to 4:00pm","",blueberries,blueberries,blueberries
Marci Lipman Country,487280 30th Sideroad,Shelburne,Ontario,Canada,"",L0N 1S8,416-346-5511,"",http://marcilipman.ca,honey,"",""
Wilson's Fresh Blueberries,61 Settlement Rd.,Lindsay,Ontario,Canada,"",K9V 4R5,705-799-0315,"In season, Saturdays from 9 am to 4 pm",http://www.wilsonsfreshblueberries.ca,blueberries,blueberries,blueberries
Talbotville Berry Farm,11054 Sunset Road,St. Thomas,Ontario,Canada,"",N5P 3T2,519-633-1488,"",http://www.talbotvilleberryfarm.com,"beans, broccoli, cabbage, cauliflower, corn, cucumbers, gourds, melons, peas, pumpkins, raspberries, squash, strawberries, tomatoes","beans, broccoli, cabbage, cauliflower, corn, cucumbers, gourds, melons, peas, pumpkins, raspberries, squash, strawberries, tomatoes","pumpkins, raspberries, strawberries"
Goldsmith's Orchard Market,207600 Hwy 26,Thornbury,Ontario,Canada,"",N0H 2P0,519-599-3246,"Open from May 1st to November 29th, 7 days a week, from 9am to 6pm.",http://www.goldsmithsmarket.com,"apples, asparagus, beans, beef, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, cider, corn, eggs, flowers, herbs, honey, lettuce, melons, peaches, peas, peppers, pork, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes","apples, beans, cabbage, cider, corn, flowers, herbs, melons, peas, potatoes, pumpkins, raspberries, squash, tomatoes",""
Serenity Lavender,130 Heritage Rd.,(County Rd. 50 E.),"","",(County Rd. 50 E.),"Harrow,  
		Ontario,  
		Canada",519-980-4504,"Open Victoria day to Labour Day Weekend, Thursday to Sunday 10am - 5pm",http://www.serenitylavender.com,lavender,"",""
Munro Honey & Meadery,3115 River Street,Alvinston,Ontario,Canada,"",N0N 1A0,519-847-5333,Open Year Round: Jan.-Mar. Monday-Friday 9am-5pm Apr.-Dec. Monday -Saturday 9am-5pm Closed all Statutory Holidays,http://www.munrohoney.com,"giftware, honey",honey,""
Fresh and Tasty Mushrooms,475226 County Rd. 11,Shelburne,Ontario,Canada,"",L0N 1S5,519-925-3215,"","","","",""
South Pond Farms,1020 Gray Road,Pontypool,Ontario,Canada,"",L0A 1K0,705-772-0609,dawn to dusk,http://www.southpondfarms.ca,"herbs, preserves, vegetables","herbs, vegetables","herbs, vegetables"
Arrowwood Farm,6460 Riverside Drive,Melbourne,Ontario,Canada,"",N0L 1T0,519-289-0389,"mid July to end of August, Monday to Saturday, 8am to 4pm",http://www.arrowwoodfarmontario.com,blueberries,blueberries,blueberries
Barrett's Christmas Tree Farm,3141 Williamson Road,Cobourg,Ontario,Canada,"",K9A 4J7,905-342-2622,Every day 9am to 5pm during the Christmas season,http://www.barrettstreefarm.ca,"","",""
Masse Fruit and Vegetable Farm,35291 Zurich Hensall Rd.,Zurich,Ontario,Canada,"",N0M 2T0,519-236-7907,"Open from mid-July to Nov 1., 10am to 6pm","","apples, beans, corn, peaches, pumpkins, squash, strawberries, tomatoes","",""
Berrylicious Fruit Farm,425533 Substation Rd.,Burgessville,Ontario,Canada,"",N0J 1C0,"519-424-3147, cell 519-76","Fall, Winter, Spring: by appointment only SUMMER: July to September: 8 am. to 6 p.m. Closed Sunday unless otherwise arranged.",http://www.berryliciousfruit.ca,"gourds, pumpkins","blueberries, pumpkins",""
Windwood Farms,4198 King Street East,Beamsville,Ontario,Canada,"",L0R 1B1,905-401-0515,"Open from August 25 to November 3, 2012<br /> Weekends only - Saturday & Sunday 10am - 4:30pm",http://www.windwoodfarms.ca,"apples, gourds, pears, pies, plums, pumpkins, squash","apples, pears, pumpkins, squash",""
Olkaga Country Market,402346 Grey Rd. #4,Hanover,Ontario,Canada,"",N4N 3B8,519-369-6729,"Open May to August, 7 days a week, 9am to 6pm Monday to Saturday, 12 noon to 4pm on Sunday.",http://www.olkagacountrymarket.ca,"beans, beets, blueberries, broccoli, carrots, cauliflower, corn, honey, onions, peaches, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","asparagus, strawberries",strawberries
Thompson's Orchard,19863 Charing Cross Road,Blenheim,Ontario,Canada,"",N0P 1A0,519-676-8464,"During season, open Monday to Saturday, 9 to 5","","apples, peaches, pears, plums, pumpkins, squash","apples, peaches, pears, plums, pumpkins, squash",""
Lake Land Meats & Farm Market,1226 St. Paul St. W.,St. Catharines,Ontario,Canada,"",L2R 6P7,905-688-4570,"noon to 5 pm, June to October - daily, November to May - Tuesday to Saturday",http://www.lakelandmeats.com,"","",""
Blueberry Knoll Berry Farm,"1090 Hutchinson Rd., RR #1",Lowbanks,Ontario,Canada,"",N0A 1K0,905-774-7732,"In Season...Monday to Thursday 8am to 8pm, Friday and Saturday 8am to 6pm",http://www.blueberryknoll.com,"blueberries, corn, raspberries, strawberries","blueberries, corn, raspberries, strawberries","blueberries, raspberries, strawberries"
Landman Gardens & Bakery,322345 Concession 6-7,Grand Valley,Ontario,Canada,"",L0N 1G0,519-928-3275,Fridays 10 am - 4 pm Saturdays 10 am - 4 pm,http://www.landmangardens.ca,"apples, beans, beets, carrots, cucumbers, onions, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","",""
Oak Knoll Farms,5754 3rd Line,HIllsburgh,Ontario,Canada,"",N0B 1Z0,519-855-4682,open year round by appointment,http://oakknollfarms.ca,"lamb, preserves",lamb,""
Pine Hill Orchards,1818 St. Felix Rd.,Bourget,Ontario,Canada,"",K0A 1E0,613-791-9979,seasonally 7 days a week from September to October,"","apples, grapes, honey, plums, raspberries","apples, grapes, honey, plums, raspberries","apples, grapes, plums, raspberries"
Greenshire Eco Farms Inc.,1563 Pigeon Lake Rd.,Lindsay,Ontario,Canada,"",K9V 4R5,705-879-4207,"",http://www.greenshireecofarms.com,"asparagus, beans, beets, carrots, corn, cucumbers, eggplant, garlic, onions, peas, peppers, squash, tomatoes","",""
Mitchdale Farms,963229 Road 96,St. Marys,Ontario,Canada,"",N4X 1C5,519-349-2271,"9am to 7pm from July to mid-August- 7 days a week, by appointment or chance year round","",raspberries,"",""
Sweet Ridge Farms,8327 Steeles Ave. E.,Scarborough,Ontario,Canada,"",M1X 1P2,416-992-9561,In seaon: Monday to Saturday,"","","",""
Vandermeer Nursery Ltd.,588 Lakeridge Rd. S.,Ajax,Ontario,Canada,"",L1Z 1X3,905-427-2525,check website www.vandermeernursery.com for details Open 7 days a week,http://www.vandermeernursery.com,perennials,perennials,""
Crunican Orchards,23840 Richmond St.,London,Ontario,Canada,"",N0M 1P0,519-666-0286,"","","apples, cider, pears","",""
Pardo's Berie Farm,7951 Talbot Trail,Blenheim,Ontario,Canada,"",N0P 1A0,519-676-2008,"Open from June to September, Monday to Thursdya from 8:00am to 8:00pm, Friday to Sunday from 8:00am to 6:00pm",http://www.pardosberriefarm.com,"beans, blackberries, corn, honey, peaches, peppers, raspberries, strawberries","beans, blackberries, peaches, peas, peppers, raspberries, strawberries","beans, peaches, peas, raspberries, strawberries"
Top Market Rabbitry,5887 Splint Rd.,Ariss,Ontario,Canada,"",N0B 1B0,519-716-9464,"Open year round - Monday to Friday 11:00am to 6:00pm, Saturday 10:00am to 4:00pm, Sunday 10:00am to 12:00pm",http://www.topmarketrabbitry.ca,"","",""
Stonefield Garden Centre & Market Ltd.,77688 Orchard Line,Bayfield,Ontario,Canada,"",N0M 1G0,519-482-3020,"April 20, 2012 to October 31, 2012 from 8am to 6pm",http://stonefieldgardencentre.ca,"beans, corn, cucumbers, flowers, onions, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","beans, pumpkins, raspberries, rhubarb, strawberries, tomatoes",""
Meadow Lynn Farms,144 Decou Rd.,Simcoe,Ontario,Canada,"",N3Y 4K2,519-426-4461,"8am to 8pm, 7 days a week in season","",strawberries,strawberries,strawberries
Voisin's Maple Products Ltd.,706 Concession 10,Formosa,Ontario,Canada,"",N0G 1W0,519-392-8126,Monday to Thursday 8am-4:30pm,http://www.vmaple.com,"","",""
Apple Hill Lavender,1795 Windham Rd. 11,RR #1 Windham Centre,Ontario,Canada,"",N0E 2A0,519-426-1841,"Open May to December 31, Wednesday to Sunday from 10am to 5pm",http://www.applehilllavender.com,"apples, lavender","apples, lavender",""
Carron Farms Ltd.,819 Canal Rd.,Bradford,Ontario,Canada,"",L3Z 2A6,905-775-2432,Open Year Round,http://www.carronfarms.ca,"beets, onions","",""
