name,postal_code,phone,hours,link,products,products_grown,products_pick,formatted_address,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,lat,lng
Bauman Apiaries,N0K 1L0,519-595-4885,"Open Thursdays, Fridays and Saturdays. Other days by chance",,honey,honey,,"6927 Nicklin St, Millbank, ON N0K 1L0, Canada",6927,Nicklin Street,Millbank,Perth County,Ontario,Canada,43.5633568,-80.835668
Burrow/Kosir Farm,N1M 2W5,519-362-1585,Open year round,http://www.jewelsunderthekilt.com,"apples, cherries, pears, raspberries",,,"6325 5th Line, Fergus, ON N1M 2W5, Canada",6325,5th Line,Fergus,Wellington County,Ontario,Canada,43.722882,-80.2914696
SamGra Acres,N0E 1H0,519-427-7125,"Open from May 1 to June 30, daily from 7:00 to 6:00.",http://www.samgraacres.ca,"asparagus, garlic","asparagus, garlic",,"Ontario, Canada",,,,,Ontario,Canada,51.253775,-85.3232139
Oakridge Acres Country Meat Store,N0B 1E0,519-632-7653,"Tuesday, Wednesday, Friday 10-6, Thursday 10-8 and Saturday 9-4",http://www.oakridgeacres.ca,"eggs, lamb, pork, preserves",,,"2132 Greenfield Rd, Ayr, ON N0B 1E0, Canada",2132,Greenfield Road,Ayr,Waterloo Regional Municipality,Ontario,Canada,43.3092696,-80.4165578
Leaping Deer Adventure Farm & Market,N5C 3J8,519-485-4795,Opening Saturday June 11th. Open every Saturday and Sunday in June and July 11-5. August Wed.-Sun. 11-5 September and October Wed.-Sun. 11-5 including hol. Mon. Nov. and Dec. Sat. 10-3,http://www.leapingdeer.com,Maze,,,"544212 Clarke Rd, Ingersoll, ON N5C 3J8, Canada",544212,Clarke Road,Ingersoll,Oxford County,Ontario,Canada,43.0513754,-80.8312053
West Moira Orchards/McCaw Farms,K0K 2C0,613-962-8228,,http://www.westmoiraorchards.ca,"broccoli, cabbage, cauliflower, cherries, cider, flowers, peaches, pears, peas, plums, preserves","apples, beans, beets, blueberries, carrots, corn, cucumbers, currants, grapes, onions, peppers, pumpkins, raspberries, squash, strawberries, tomatoes, turnip","blueberries, raspberries, tomatoes","537 Moira St W, Belleville, ON K8N 4Z2, Canada",537,Moira Street West,Belleville,Hastings County,Ontario,Canada,44.165922,-77.418058
Organics Family Farm,,905-640-5206,"Open from June to October. Hours vary within the season, please call ahead.",http://www.organicsfarm.ca,"raspberries, strawberries","currants, raspberries, strawberries","raspberries, strawberries","7550 19th Ave, Markham, ON L6B 1A8, Canada",7550,19th Avenue,Markham,York Regional Municipality,Ontario,Canada,43.9579612,-79.2247937
Fields on West Lake,K0K 1G0,,,http://www.fieldsonwestlake.com,"apples, currants, gooseberries, pears, raspberries","apples, corn, currants, gooseberries, pears, raspberries","apples, currants, gooseberries, pears, raspberries","15786 Loyalist Pkwy, Bloomfield, ON K0K 1G0, Canada",15786,Loyalist Parkway,Prince Edward,Prince Edward County,Ontario,Canada,43.961195,-77.305839
Fort Rose Maple Company,N0M 2K0,519-232-9041,"Maple syrup available year round. Pancake house is open from Feb. 28 to April 5, 9am to 2 pm. Open March Break, March 16-20 9am - 2pm.",http://www.fortrose.ca,,,,"27382 Coldstream Rd, Parkhill, ON N0M 2K0, Canada",27382,Coldstream Road,Parkhill,Middlesex County,Ontario,Canada,43.1138196,-81.6312679
The Red Barn Fruit Farm,N0M 1B0,,,http://www.redbarnfruitfarm.com,"apples, apricots, cherries, cider, corn, cucumbers, onions, peaches, pears, peppers, plums, pumpkins, squash, tomatoes","apples, apricots, cherries, peaches, pears, plums, pumpkins, squash",,"8651 Townsend Line, Arkona, ON N0M 1B0, Canada",8651,Townsend Line,Lambton Shores,Lambton County,Ontario,Canada,43.0709016,-81.8222689
Binnendyk Orchard,N4G 4H1,519-688-9091,MOnday to Saturday 8am to 6pm,,"apples, corn, honey, pumpkins, squash","apples, corn, honey, pumpkins, squash",,"332700 Plank Line, Tillsonburg, ON N4G 4H1, Canada",332700,Plank Line,Tillsonburg,Oxford County,Ontario,Canada,42.916426,-80.7624249
Torry Lane Farm-Mille de Fleurs,,905-659-3219,By appointment,http://www.milledefleurs.ca,lavender,,,"1281 Concession Rd 10 W, Puslinch, ON N0B 2J0, Canada",1281,Concession Road 10 West,Puslinch,Hamilton Division,Ontario,Canada,43.405225,-80.0975024
Rutherford's Farm & Roadside Market,K0K 1S0,,,http://www.ruralroutes.com/rutherfords,"cheese, cider, corn, flowers, honey, onions, peaches, pears, plums","apples, beans, beets, broccoli, cabbage, cauliflower, cucumbers, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes",strawberries,"205 King St E, Colborne, ON K0K 1S0, Canada",205,King Street East,Colborne,Northumberland County,Ontario,Canada,44.014095,-77.868398
Applewood Farm Winery,L4A 7X5,,,http://www.applewoodfarmwinery.com,"apples, pumpkins, strawberries, wine","apples, pumpkins, raspberries, strawberries","apples, pumpkins, raspberries, strawberries","12416 McCowan Rd, Whitchurch-Stouffville, ON L4A 7X5, Canada",12416,McCowan Road,Whitchurch-Stouffville,York Regional Municipality,Ontario,Canada,43.9638254,-79.3059185
Marlin Orchards & Garden Centre,K6H 5R5,613-931-1213,"Open March to December, 7 days a week.",http://www.marlinorchards.com,"apples, cherries, pears, plums, pumpkins","apples, cherries, pears, plums, pumpkins",apples,"6864 Orchard Rd, Cornwall, ON K6H 5R5, Canada",6864,Orchard Road,Cornwall,"Stormont, Dundas and Glengarry United Counties",Ontario,Canada,45.0516795,-74.5934577
Mosborough Country Market,,,,http://www.mosboroughmarket.ca,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, currants, flowers, grapes, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","corn, pumpkins",,"5284 Wellington County Rd 32, Guelph, ON N1H 6J4, Canada",5284,Wellington County Road 32,Guelph,Wellington County,Ontario,Canada,43.5178952,-80.3222078
Rowen's,N0E 1Y0,,,,,,,"121 Robinson Rd, Waterford, ON N0E 1Y0, Canada",121,Robinson Road,Waterford,Norfolk County,Ontario,Canada,42.9405308,-80.3149501
Powell's Patch Blueberries,N3Y 4K2,,,,blueberries,blueberries,blueberries,"37 Gilbert Rd, Simcoe, ON N3Y 4K2, Canada",37,Gilbert Road,Simcoe,Norfolk County,Ontario,Canada,42.774904,-80.2575314
Dickey Bee Honey Inc.,L0L 1L0,705-458-1258,Tuesday to Friday ~ 10am to 6pm. Saturday ~ 10-5pm. Sunday ~ 10-4pm,http://www.dickeybeehoney.com,honey,honey,Groups,"4031 3 Line, Cookstown, ON L0L 1L0, Canada",4031,3 Line,Innisfil,Simcoe County,Ontario,Canada,44.2187757,-79.6875367
Meleg's Lakeview Orchard,N9Y 2E6,519-733-4857,"Open year round - Monday to Friday 9am to 6pm, weekends 10am to 5pm",http://www.melegpyofruit.com,"apples, beans, cherries, cider, corn, onions, peaches, peppers, plums, pumpkins, strawberries, tomatoes","apples, beans, cherries, corn, onions, peaches, peppers, plums, pumpkins, strawberries, tomatoes","apples, blackberries, cherries, peaches, raspberries, strawberries","158 Arner Townline, Kingsville, ON N9Y 2E6, Canada",158,Arner Townline,Kingsville,Essex County,Ontario,Canada,42.0020657,-82.8252997
Steckle's Produce and Flowers,,519-338-5381,We are open from May to October. 6 days/week from 9am to 7pm. Closed on Sundays,http://www.steckles.ca,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, flowers, melons, onions, peaches, pears, peas, peppers, plums, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, cabbage, carrots, corn, cucumbers, flowers, onions, peas, peppers, squash, strawberries, tomatoes",,"ON-89, Harriston, ON N0G 1Z0, Canada",,Ontario 89,Minto,Wellington County,Ontario,Canada,43.93513,-80.8661583
Hotchkiss Homestead,N5H 2R3,519-765-2130,,,"asparagus, beans, beets, blueberries, cabbage, carrots, corn, eggs, flowers, honey, lettuce, melons, peppers, pumpkins, raspberries, squash, tomatoes",,,"51240 John Wise Line, Aylmer, ON N5H 2R5, Canada",51240,John Wise Line,Aylmer,Elgin County,Ontario,Canada,42.7303742,-80.9260654
Adel Farms Inc.,N0P 2C0,519-360-6675,,,"beets, carrots, corn, onions, peas, peppers, potatoes, pumpkins",,,"4172 Tecumseh Line, Tilbury, ON N0P 2L0, Canada",4172,Tecumseh Line,Chatham-Kent,Chatham-Kent Division,Ontario,Canada,42.3111722,-82.4271666
Hipple Farms Limited,L0R 1B1,905-562-4861,"Open from July 1st to the end of September, daily from 9am to 7 pm.",http://www.hipplefarms.ca,"apricots, cherries, grapes, nectarines, peaches, pears, plums, raspberries, tomatoes",,,"4275 Maple Grove Rd, Beamsville, ON L0R 1B1, Canada",4275,Maple Grove Road,Lincoln,Niagara Regional Municipality,Ontario,Canada,43.1631737,-79.4243864
Pieter's Appleyard,K0K 1S0,905-355-5725,"We are open from September 1 to October 31st, daily from 10am to 5pm including holidays.",http://www.pietersappleyard.com,"apples, pears, pumpkins, squash","apples, pears, pumpkins, squash","apples, pears","13516 County 2 Rd, Cramahe, ON K0K, Canada",13516,County 2 Road,,Northumberland County,Ontario,Canada,44.0118784,-77.8608077
Aylmer Big Apple Orchard Corp.,N5H 2R3,519-773-2318,Daily 9 to 5,http://www.aylmerapple.com,,,,"11766 Imperial Rd, Aylmer, ON N5H 2R3, Canada",11766,Imperial Road,Aylmer,Elgin County,Ontario,Canada,42.8125225,-80.9811901
Kent Creek Orchard,N3Y 4K5,519-426-6148,"Open 11-6 on Saturday and Sunday for August, September and October",http://kentcreekorchard.com,"apples, flowers, herbs, honey, lavender","apples, flowers, honey",,"1725 McDowell Rd E, Simcoe, ON N3Y 4K5, Canada",1725,McDowell Road East,Simcoe,Norfolk County,Ontario,Canada,42.8234529,-80.3503739
Board's Honey Farm,P0H 1W0,705-729-2939,"By chance or request January-March, April - December 10 a.m. - 5 p.m. daily",http://www.boardshoneyfarm.com,honey,honey,,"6866 ON-534, Restoule, ON P0H 2R0, Canada",6866,Ontario 534,Restoule,Parry Sound District,Ontario,Canada,46.0262802,-79.7135402
Tigchelaar Berry Farms,L0R 1S0,905-658-2265,,http://www.tigchelaarberries.com,"apples, cucumbers, eggplant, pears, peas, peppers, strawberries, tomatoes",strawberries,,"4171 Jordan Rd, Jordan Station, ON L0R 1S0, Canada",4171,Jordan Road,Lincoln,Niagara Regional Municipality,Ontario,Canada,43.1657343,-79.3603931
R.V. Farm,K7R 3K8,613-484-2595,Mid June to the end of October daily from 8am to 8pm,,"beans, pumpkins, squash, strawberries, tomatoes",pumpkins,,"7243 Lennox and Addington County Rd 9, Napanee, ON K7R 3K8, Canada",7243,Lennox and Addington County Road 9,Napanee,Lennox and Addington County,Ontario,Canada,44.2059675,-76.9171799
O'Keefe Grange,N0H 1L0,519-934-3673,"Open from March to December; Thursday and Friday: 12:00 to 5:00, Saturdays: 10:00 to 5:00<br /> DIRECTIONS: 1070 Conc 2 Arran Township<br /> Third Concession south of Tara, turn right, travel for 8 km, corner farm at Mount Hope corner",,"apples, beans, currants, pears, peppers, pumpkins, squash, tomatoes","apples, beans, currants, pears, peppers, pumpkins, squash, tomatoes",,"Dobbinton, ON N0H, Canada",,,Dobbinton,Bruce County,Ontario,Canada,44.3904943,-81.1339473
Gallery on the Farm,L0B 1J0,905-263-8245,Open year round -phone ahead or by chance,http://www.galleryonthefarm.com,corn,corn,,"1721 Durham Regional Rd 3, Hampton, ON L0B 1J0, Canada",1721,Durham Regional Road 3,Hampton,Durham Regional Municipality,Ontario,Canada,44.0156476,-78.7687
Corn Acre Farms / Wendy's Country Market,K0E 1N0,613-928-2977,Year round - 10 a.m. - 5 p.m.,http://www.cornacrefarms.com,"beans, beets, broccoli, cider, corn, cucumbers, peppers, preserves, squash, tomatoes","beans, beets, broccoli, corn, cucumbers, peppers, potatoes, squash, tomatoes",,"1757 Summers Rd, Lyndhurst, ON K0E 1N0, Canada",1757,Summers Road,Lyndhurst,Leeds and Grenville United Counties,Ontario,Canada,44.553387,-76.168477
Dingo Farms,L3Z 2A5,905-775-5520,"Year round - Saturday 9am - 3pm, rest of the week by appointment",http://www.dingofarms.com,"beef, lamb, pork","beef, lamb, pork",,"3412 8th Line, Bradford, ON L3Z 2A5, Canada",3412,8th Line,Bradford West Gwillimbury,Simcoe County,Ontario,Canada,44.1142609,-79.6319081
Moore Orchards,K9A 4J8,905-372-3911,"Open year round. Apples 10am-5pm Monday-Saturday 1-4 pm Sunday. Strawberries 8am-dusk Monday-Friday, 8am-4pm Saturday, 8am-12noon Sunday",,"apples, blueberries, cider, corn, pears, preserves, pumpkins, raspberries, squash, strawberries","apples, blueberries, corn, pears, pumpkins, raspberries, squash, strawberries","apples, raspberries, strawberries","1497 Moore Orchard Rd, Cobourg, ON K9A 4J8, Canada",1497,Moore Orchard Road,Cobourg,Northumberland County,Ontario,Canada,43.971618,-78.0922858
The Farmer's Pantry,N0H 1J0,519-599-3656,"Open July 3 - October 31, 2009 10am - 6pm",http://www.farmerspantry.com,preserves,"apples, beans, pumpkins, raspberries, squash","apples, beans, pumpkins, raspberries","788030 Grey County Rd 13, Clarksburg, ON N0H 1J0, Canada",788030,Grey County Road 13,The Blue Mountains,Grey County,Ontario,Canada,44.537026,-80.4670372
VanDorp Farms,L1A 3V6,905-885-0207,June 20 - August 20 8am - 8pm,,"raspberries, strawberries","raspberries, strawberries","raspberries, strawberries","3260 Northumberland County Rd 28, Port Hope, ON L0A, Canada",3260,Northumberland County Road 28,,Northumberland County,Ontario,Canada,43.9920564,-78.295175
Freeman Herbs Inc.,L0R 1B3,"905-563-8890, x222",,http://www.freemanherbs.com,,,,"4838 Lincoln Ave, Beamsville, ON L0R 1B3, Canada",4838,Lincoln Avenue,Lincoln,Niagara Regional Municipality,Ontario,Canada,43.188996,-79.4871825
Snowden Farms,L0B 1J0,905-260-9596,Open year round.,http://www.allnaturalmeatpies.com,,,,"1576 Concession Rd 7, Hampton, ON L0B 1J0, Canada",1576,Concession Road 7,Hampton,Durham Regional Municipality,Ontario,Canada,43.9860382,-78.8168391
Steed and Company Lavender,N5H 2R4,,,http://www.lavenderblue.ca,lavender,lavender,,"47589 Sparta Line, Aylmer, ON N5H 2R4, Canada",47589,Sparta Line,Aylmer,Elgin County,Ontario,Canada,42.7006542,-81.0434492
Geissberger Farmhouse Cider,L0B 1J0,905-725-4985,September 14 - December 31 Call ahead please,http://www.farmhousecider.ca,,,,"5345 Langmaid Rd, Hampton, ON L0B 1J0, Canada",5345,Langmaid Road,Hampton,Durham Regional Municipality,Ontario,Canada,43.9543802,-78.8175297
Heatherlea Farm Shoppe,L7K 1J1,519-927-5902,Open all year - Mon. closed; Tues-Fri. 9-6 pm; Sat. 9-5 pm; Sun. 12-4 pm.,http://www.heatherlea.ca,"lamb, pork, pumpkins",,,"17049 Winston Churchill Blvd, Caledon, ON L7K 0E8, Canada",17049,Winston Churchill Boulevard,Caledon,,Ontario,Canada,43.7788063,-80.0282261
Tawse Winery,L0R 2C0,905-562-9500 x22,,http://www.tawsewinery.ca,wine,,,"3955 Cherry Ave, Vineland, ON L0R 2C0, Canada",3955,Cherry Avenue,Lincoln,Niagara Regional Municipality,Ontario,Canada,43.1495897,-79.4135311
Sunshine Farms,N0P 2K0,519-692-4416,Open May 1 - Sept 30 9-7,http://www.picklesplease.ca,"asparagus, vegetables",,,"30043 Jane Rd, Thamesville, ON N0P 2K0, Canada",30043,Jane Road,Thamesville,Chatham-Kent Division,Ontario,Canada,42.6155816,-81.962724
Albion Orchards Apple Farm & Country Market,L7C 2Y8,905-584-0354,"mid Aug - Dec 23, 10 am - 6 pm",http://www.albionorchards.com,"apples, fudge, pies, preserves, vegetables","apples, pears, pumpkins","apples, pears, pumpkins","14800 Innis Lake Rd, Kleinburg, ON L0J, Canada",14800,Innis Lake Road,Caledon,Peel Regional Municipality,Ontario,Canada,43.8548722,-79.8227935
Barrie Hill Farms,L4M 4S4,705-728-0571,"May - Labour Day; Mkt Daily 8 am - 8 pm; PYO Mon - Fri 8 - 8; Sat, Sun, Hol. 8 - 4",http://www.barriehillfarms.com,"asparagus, beans, blueberries, cucumbers, peas, potatoes, raspberries, rhubarb, strawberries","beans, blueberries, peas, raspberries, strawberries","beans, blueberries, peas, raspberries, strawberries","2935 Barrie Hill Rd, Barrie, ON L4M 4S4, Canada",2935,Barrie Hill Road,Barrie,Simcoe County,Ontario,Canada,44.400972,-79.782951
Brantview Apples & Cider,N0E 1N0,519-448-1323,Sept. 1 - Oct. 31: daily; Nov - May: Fri only.,http://www.brantviewapples.on.ca,"apples, cider",apples,Maze,"225 Howell Rd, Saint George, ON N0E 1N0, Canada",225,Howell Road,Saint George,Brant County,Ontario,Canada,43.2556626,-80.2735373
Hulshof Farm Market,L4A 7X3,905-640-1380,Our season is: Open Long weekend in May and close November 30th. Our daily hours of operation are: Mon. - Sun 9 a.m. - 6 p.m.,,"broccoli, cabbage, cauliflower",,,"5538 Bloomington Rd, Whitchurch-Stouffville, ON L4A 7X3, Canada",5538,Bloomington Road,Whitchurch-Stouffville,York Regional Municipality,Ontario,Canada,44.0049459,-79.2801441
Forsythe Family Farms 2009 Inc.,L9P 1R3,905-985-6749,May - Dec 24; hours vary with season; Host: School Groups,http://www.forsythefamilyfarms.com,"pumpkins, strawberries","apples, beans, peas, pumpkins, strawberries","beans, peas, pumpkins, strawberries","1025 Cragg Rd, Uxbridge, ON L9P 1R3, Canada",1025,Cragg Road,Uxbridge,Durham Regional Municipality,Ontario,Canada,44.1495219,-79.0279079
Haute Goat,K0L 1L0,416-402-8144,Thursday to Sunday 10am to 4pm and by appointment. Open Year Round.,http://www.hautegoat.com,garlic,garlic,,"1969 Burnbrae Rd E, Campbellford, ON K0L, Canada",1969,Burnbrae Road East,Campbellford,Northumberland County,Ontario,Canada,44.3119919,-77.744673
Frootogo Orchards,L0R 2H1,905-689-1652,Aug. 1 to Dec. 21 daily 10-6,http://www.frootogo.ca,apples,"apples, grapes, plums, pumpkins, strawberries","apples, grapes, plums, pumpkins, strawberries","573 Parkside Dr, Waterdown, ON L0R 2H1, Canada",573,Parkside Drive,Hamilton,Hamilton Division,Ontario,Canada,43.3568428,-79.8781047
Gammondale Farm,P7J 0B3,"807-475-5615, 888-705-4636","HORSE-DRAWN HAY/SLEIGH RIDES, FAMILY PARTIES, WEDDINGS & SCHOOL TOURS: Year-round by reservation. PUMPKINFEST, MAZES: 6 weekends late Sept & Oct. HAUNTED CORNFIELD: 2 weekends late October.",http://www.gammondalefarm.com,"gourds, pies, preserves, pumpkins, squash","gourds, pumpkins, squash","gourds, pumpkins, squash","426 McCluskey Dr, Thunder Bay, ON P7C 4V2, Canada",426,McCluskey Drive,Thunder Bay,Thunder Bay District,Ontario,Canada,48.3076189,-89.4981097
Garrett's Farm Market & Greenhouse,L4M 4Y8,705-721-1800,"Open Daily: 8am to 6pm, Fridays 8am to 8pm",,"corn, perennials",,,"824 Penetanguishene Rd, Barrie, ON L4M 4Y8, Canada",824,Penetanguishene Road,Barrie,Simcoe County,Ontario,Canada,44.4530153,-79.6590073
Gillespie's Garden,N1R 5S6,519-622-2294,late July - mid September,,,,,"1043 Brantford Hwy, Cambridge, ON N1R 5S6, Canada",1043,Brantford Highway,Cambridge,Waterloo Regional Municipality,Ontario,Canada,43.3326678,-80.3126369
Hall's Apple Market,K6V 5T1,613-342-6320,"Year Round, Daily 8 am - 5:30 pm (except Sun between Jan & July)",http://www.hallsapplemarket.com,apples,apples,apples,"2930 Concession 2 Rd, Maitland, ON K6V 5T1, Canada",2930,Concession 2 Road,,Leeds and Grenville United Counties,Ontario,Canada,44.6297195,-75.6604284
Heeman Greenhouses & Strawberry Farm,N0M 2P0,519-461-1416/519-461-0555,8:00am - 8:00pm Mon-Fri | 8:00am - 5:00pm Sat-Sun,http://www.heeman.ca,"blueberries, cherries, raspberries, strawberries","raspberries, strawberries",strawberries,"20422 Nissouri Rd, Thorndale, ON N0M 2P0, Canada",20422,Nissouri Road,Thorndale,Middlesex County,Ontario,Canada,43.0401743,-81.125462
Herrle's Country Farm Market,N0B 2L0,519-886-7576,June 20 - Oct 31: Mon - Fri: 8 - 7; Sat: 8 - 6; Sun: 9 - 5,http://www.herrles.com,"beans, peas, pumpkins, squash, strawberries","pumpkins, strawberries","pumpkins, strawberries","1243 Erbs Rd, St. Agatha, ON N0B 2L0, Canada",1243,Erbs Road,Saint Agatha,Waterloo Regional Municipality,Ontario,Canada,43.4393714,-80.5999218
Hillsview Greenhouses & Market Produce,N0G 2H0,519-529-3653,"May - Oct: 9am - 6 pm weekdays, 9 am - 6 pm Sat., Closed Sundays",,,,,"37106 Belgrave Rd, Lucknow, ON N0G 2H0, Canada",37106,Belgrave Road,Lucknow,Huron County,Ontario,Canada,43.894892,-81.558453
Have Fun @ Howells,L0S 1E6,905-892-3918,see website,http://www.Howellls.ca,"flowers, gourds, pies, squash",pumpkins,pumpkins,"2878 Holland Rd, Thorold, ON L0S 1E6, Canada",2878,Holland Road,Thorold,Niagara Regional Municipality,Ontario,Canada,43.0780852,-79.272555
Hugli's Blueberry Ranch,K8A 6W2,613-638-1288,June 1 - Oct 31,http://www.blueberryranch.ca,"blueberries, pumpkins","blueberries, pumpkins","blueberries, pumpkins","2139 Greenwood Rd, Pembroke, ON K8A 6W2, Canada",2139,Greenwood Road,Pembroke,Renfrew County,Ontario,Canada,45.780678,-77.0513579
Jakeman's Maple Products,N0J 1A0,800-382-9795/519-539-1366,"year round: Mon - Friday: 8:00 am to 4:30 pm, Sat: 10 am - 4 pm. Food Service: weekends in maple season",http://www.themaplestore.com,,,,"454414 Trillium Line, Beachville, ON N0J 1A0, Canada",454414,Trillium Line,Beachville,Oxford County,Ontario,Canada,43.0641375,-80.7758299
Janssens Farm Market & U Pick,N0L 1A0,519-289-2499,year round: 8am - 8pm; winter 9am - 6pm,,"apples, cider","apples, beans, cucumbers, gooseberries, peppers, raspberries, strawberries, tomatoes","apples, beans, cucumbers, gooseberries, peppers, raspberries, strawberries, tomatoes","5885 Falconbridge Dr, Appin, ON N0L 1A0, Canada",5885,Falconbridge Drive,Appin,Middlesex County,Ontario,Canada,42.8272336,-81.6263832
Johnston's Cranberry Marsh / Muskoka Lakes Winery,P0C 1A0,705-762-3203,Year round. Mon - Sat: 9-5; Sun: 11-4. Food Service: food tent in October,http://www.cranberry.ca,"cranberries, wine",,,"1074 Cranberry Rd, Bala, ON P0C 1A0, Canada",1074,Cranberry Road,Bala,Muskoka District Municipality,Ontario,Canada,45.0573909,-79.6465888
Kurtz Orchards Market,L0S 1J0,905-468-2937,Daily 9 - 6,http://www.kurtzorchards.com,,,,"16006 Niagara Pkwy, Niagara-on-the-Lake, ON L0S 1J0, Canada",16006,Niagara Parkway,Niagara-on-the-Lake,Niagara Regional Municipality,Ontario,Canada,43.2356842,-79.0638536
Lindley's Farm & Market Ltd.,L9G 3L1,289-237-5614,May - Oct 31: Call for hours,http://www.lindleyfarm.com,vegetables,"pumpkins, raspberries, strawberries","pumpkins, raspberries, strawberries","900 Fiddlers Green Rd, Ancaster, ON L9G 3L1, Canada",900,Fiddlers Green Road,Hamilton,Hamilton Division,Ontario,Canada,43.1895951,-79.9786493
McGregor's Produce,K0A 1G0,613-432-9726,Open 7 days a week from mid-June until October 31st,http://www.mcgregorsproduce.com,"pumpkins, raspberries, strawberries","beans, pumpkins, raspberries, strawberries, tomatoes","raspberries, strawberries","351 Lochwinnoch Rd, Braeside, ON K0A 1G0, Canada",351,Lochwinnoch Road,Braeside,Renfrew County,Ontario,Canada,45.4825161,-76.5197486
Nokara Farms,L2R 6P9,905-937-0211,mid June - Thanksgiving weekend; Mon-Sat: 9:30 am - 6:30 pm; Sun: Call for hours; Host Groups: by appointment only,http://www.nokarafarms.ca,"peaches, pears, plums, strawberries, tomatoes",strawberries,strawberries,"1090 Lakeshore Rd W, St. Catharines, ON L2R 6P9, Canada",1090,Lakeshore Road West,Saint Catharines,Niagara Regional Municipality,Ontario,Canada,43.1876938,-79.2984622
Orchalaw Farms,L6X 0A2,905-456-1879,,http://www.orchalawfarms.com,apples,apples,apples,"9726 Heritage Rd, Brampton, ON L6X, Canada",9726,Heritage Road,Brampton,Peel Regional Municipality,Ontario,Canada,43.6509609,-79.8315239
Springridge Farm,L9T 2Y1,905-878-4908,"Open daily 9-5, April-December",http://www.springridgefarm.com,"gourds, pumpkins, strawberries","gourds, pumpkins, strawberries",Maze,"7256 Bell School Line, Milton, ON L9T 2Y1, Canada",7256,Bell School Line,Milton,Halton Regional Municipality,Ontario,Canada,43.4819857,-79.9041063
The Apple Factory,L7A 0B8,905-846-3715,"Open daily May-Oct: 9-6, Nov-Apr: 10-6",http://www.applefactory.com,"Sheldon Creek milk products, annuals, apples, apricots, asparagus, baked goods, beans, bedding plants, beef, beets, blackberries, blueberries, broccoli, brussel sprouts, cabbage, cantaloupe, carrots, cauliflower, cheese, cherries, cider, corn, cranberries, cucumbers, eggs, flowers, fudge, garlic, gift baskets, giftware, gourds, grapes, herbs, honey, jam/jellies, lamb, leafy greens, lettuce, maple syrup/products, melons, milk, mushrooms, nectarines, onions, parsnip, peaches, pears, peas, peppers, perennials, pies, plums, pork, potatoes, poultry/chicken, preserves, pumpkins, raspberries, rhubarb, spinach, squash, strawberries, sweet potatoes, tomatoes, turnip, vegetables, watermelons, zucchini",Bakery,,"10024 Mississauga Rd, Brampton, ON L7A 0B5, Canada",10024,Mississauga Road,Brampton,Peel Regional Municipality,Ontario,Canada,43.6670352,-79.8299691
Willowtree Farm Market,L9L 1B5,905-985-4973,June - Nov. Daily 8 am - 7 pm; Fall: 9 am - 6 pm,http://www.willowtreefarm.ca,"apples, beans, beef, blueberries, cider, cucumbers, gourds, honey, onions, peaches, peas, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes","pumpkins, raspberries, strawberries","pumpkins, raspberries, strawberries","975 Durham Regional Rd 21, Port Perry, ON L9L 1B5, Canada",975,Durham Regional Road 21,Port Perry,Durham Regional Municipality,Ontario,Canada,44.077726,-78.9834962
Peach Country Farm Market,L0R 2E0,905-562-5602,"Open at 9:00 a.m, 7 days a week, July to October.",http://www.peachcountryfarmmarket.com,"apples, apricots, nectarines, peaches, plums, raspberries, squash, tomatoes","apples, apricots, nectarines, peaches, plums, raspberries, squash, tomatoes","Bakery, Food","4490 Victoria Ave, Vineland Station, ON L0R 2E0, Canada",4490,Victoria Avenue,Lincoln,Niagara Regional Municipality,Ontario,Canada,43.1696051,-79.3939479
Thatcher Farms,,519-856-4073,Open Thursday to Saturday from 10am to 5pm.,http://www.thatcher-farms.com,"beef, cheese, honey, pork",,,"5727 5th Line, Guelph/Eramosa, ON N0B, Canada",5727,5th Line,,Wellington County,Ontario,Canada,43.656878,-80.1978731
VG Meats,,519-426-2000,We offer 2 locations with different hours throughout the year. Closed Sundays.,http://www.vgmeats.ca,,,,"966 Concession 6 Woodhouse, Norfolk County, ON N0E, Canada",966,Concession 6 Woodhouse,,Norfolk County,Ontario,Canada,42.8466718,-80.2205559
Mountain Orchards,K0E 1S0,613-989-5601,,http://www.mountainorchards.ca,,,,"10175 Clark Rd, Mountain, ON K0E 1S0, Canada",10175,Clark Road,Mountain,"Stormont, Dundas and Glengarry United Counties",Ontario,Canada,45.024634,-75.526058
Reesor Farm Market,L6B 1A8,905-640-4568,"June - October, 9 a.m. to 6:30 p.m.","http://www.reesorfarm.com,facebook.com/reesorfarmmarket","cheese, preserves","beans, peas, pumpkins, strawberries, tomatoes","pumpkins, strawberries","10825 Ninth Line, Markham, ON L6B 1A8, Canada",10825,Ninth Line,Markham,York Regional Municipality,Ontario,Canada,43.9348923,-79.2487668
